JobTitle,Salary,CompanyName,CompanyRating,JobLocation,Summary,Date
Data Science-DL-,nan,Aditya Birla Group,4.1,Maharashtra,"As such, the role of a data scientist is responsible for creating the decision systems that convert data into models.",Today
Data Science Intern,12000 a month,Virtual Sense Global Technologies,nan,"Pune, Maharashtra","Virtual Sense is a digital health company working on cutting edge hardware, software and data science problems for applications of deep science to betterment of…",13 days ago
Data Science Internship,8000 - 15000 a month,Quadratyx,2.0,"Hyderabad, Telangana",Demonstrate skills working with teams to deliver data science driven solutions 4.,Today
Data Analyst,600000 - 1000000 a year,Bombinate Technologies (Koo App),nan,"Jayanagar, Bengaluru, Karnataka",Work closely with the data science team to help set up data pipelines.,Today
Data Scientist,40000 - 60000 a month,INEXTURE SOLUTIONS,4.5,"Ahmedabad, Gujarat","Understanding of data structures, data modeling, and software architecture basics.",Just posted
Data Science Intern,nan,Uptricks Services Private Limited,nan,"Pune, Maharashtra",Working on data science algorithms and AI concepts.,Just posted
Data Science Internship,15000 - 20000 a month,Stylework,nan,"Gurgaon, Haryana",Working on the presentation of valuable data using data visualization techniques 7.,Today
Junior Data Scientist/ta,700000 - 1500000 a year,WSD Consultant,nan,"Gurgaon, Haryana",These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future.,2 days ago
Data Science Internship,25000 a month,Applicate IT Solutions Private Limited,nan,"Gurgaon, Haryana",Selecting appropriate datasets and data representation methods 5.,Today
Data Science,nan,Larsen & Toubro Infotech Limited,3.7,India,Preferable Expertise in leveraging capabilities of AI & ML with medium to large customer data in Insurance Domain.,6 days ago
Data Scientist,nan,NatWest Group,3.4,"Bengaluru, Karnataka",It's a chance to develop your skills and bring an innovative and passionate approach to data science to benefit our business.,Today
Data Science Intern,nan,ACROBYTE TECHNOLOGIES,nan,Remote,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing.",30+ days ago
Data Science Trainer,300 - 1000 an hour,Elan Academy,5.0,Remote,Trainers should train the students who want to become a Data Scientist.,15 days ago
Data Scientist,650000 a year,Roche Pharmaceuticals,nan,"Mumbai, Maharashtra", Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.,14 days ago
Data Science Trainer,300 - 1000 an hour,Elan Academy,5.0,Remote,Trainers should train the students who want to become a Data Scientist.,15 days ago
Data Scientist,650000 a year,Roche Pharmaceuticals,nan,"Mumbai, Maharashtra", Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.,14 days ago
Data Science Intern,nan,Sankhkyiki Robotics,nan,"Navi Mumbai, Maharashtra","Skill(s) required: data science, big data, analytics, statistics.",30+ days ago
Data Scientist,17000 - 25000 a month,AI Engineer,nan,"Delhi, Delhi",Ability to use data visualization tools to showcase data for stakeholders.,8 days ago
data science engineer,15000 - 20000 a month,Proton Expert Systems & Solutions,nan,"Bengaluru, Karnataka",We are hiring data science engineer for our company.,17 days ago
"Data Analyst (Python, ELG developer, Machine Learning)",nan,3RI TECHNOLOGIES,5.0,"Pune, Maharashtra","Providing technical expertise in data storage structures, data mining, and data cleansing.",2 days ago
Data Science python Intern teacher,3000 - 5000 a month,Sasvba,nan,"Laxmi Nagar, Delhi, Delhi",Artificial intelligence data science python.,2 days ago
Solutions Data Science Analyst,nan,One Concern,nan,"Alwal, Hyderabad, Telangana",1-3 years of software or data science and engineering experience.,7 days ago
Data and Applied Scientist,nan,Microsoft,4.2,"Hyderabad, Telangana",Experience in building full stack data science models with various Azure technologies.,1 day ago
Data science/Data analytics/Python,nan,HSBC,4.0,"Pune, Maharashtra","Exploring and visualizing data to gain an understanding of it, then identifying pattern in data distribution and generate insights.",23 days ago
Python with Data Science Trainer,nan,APPIN CLIENT,nan,"Coimbatore, Tamil Nadu","Appin Client looking for Python with Data Science Trainer, responsible for providing training to the students.",1 day ago
Clinical Data Analyst I,nan,Parexel,3.7,"Hyderabad, Telangana","Responsible for data cleaning and data review activities, e.g. query management.",1 day ago
Data Science Engineer,nan,Aptiv,4.1,"Bengaluru, Karnataka",CS/ data science engineering education background.,23 days ago
"Project Manager, Talent Neuron (Data Science)",nan,Gartner,3.7,"Bengaluru, Karnataka",The candidate will be responsible for program and project management of key Data Science initiatives needed to build and run Talent Neuron’s customer facing web…,Today
Data Science Trainer,240000 - 400000 a year,MARSIAN Technologies (marsiantech.com),nan,"Pune, Maharashtra",Looking for full time & part time Data Science/Machine Learning Trainers to teach in classroom(offline) in our Viman Nagar branch in Pune.,5 days ago
Data Science Internship,7000 a month,Coco Neobank,nan,"Pune, Maharashtra",Coco Neobank is a neo banking startup for the Indian market.,7 days ago
Data Science Training,500000 a year,Emerging India Group,nan,India,Handle all incoming customer queries on our Data Science courses and act as a consultant and guide prospects in their purchase decisions for data science…,30+ days ago
Data Analytics Internship,20000 a month,Softsensor.ai,nan,"Gurgaon, Haryana",We are focused on data science and analytics for improving the process and organizational performance.,Today
Associate NLP & Text Mining Data Scientist,nan,Evolent Health,3.1,"Pune, Maharashtra",Gather external data sets; build synthetic data and label data sets as per the needs for NLP/NLR/NLU.,30+ days ago
Data Scientist,nan,Payoda,4.0,"Coimbatore, Tamil Nadu",You will have the opportunity to use big data technologies to tame real-world data science scenarios.,2 days ago
Process Executive - Data,nan,Cognizant,3.9,"Chennai, Tamil Nadu",Perform data entry of employee data base.,Today
Sr. Data Scientist,1200000 - 1600000 a year,Qwickbit technologies pvt ltd,nan,"Bengaluru, Karnataka",\* Present information using data visualization techniques.,7 days ago
Data Science Engineer,nan,Involvio,nan,"Bengaluru, Karnataka","Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc.",30+ days ago
Head of ML/Data Science,nan,Ai Health Highway India Pvt Ltd,nan,"Bengaluru, Karnataka",Head of ML/Data Science for MedTech Startup incubated in IISC Bangalore*.,5 days ago
Head Data Science-DL-,nan,Aditya Birla Group,4.1,Maharashtra,Review and sign off data model / projects.,3 days ago
